,value,percentage,datetime,type
0,65721.585,0.5865866470626021,2021-01-01T00:00:00.000+01:00,Hidráulica
1,54404.335,0.4619595499690528,2021-02-01T00:00:00.000+01:00,Hidráulica
2,36363.33,0.32895528159358706,2021-03-01T00:00:00.000+01:00,Hidráulica
3,19311.79,0.20652081264406627,2021-04-01T00:00:00.000+02:00,Hidráulica
4,17872.808,0.2461541597442382,2021-05-01T00:00:00.000+02:00,Hidráulica
5,20553.137,0.2513090254210963,2021-06-01T00:00:00.000+02:00,Hidráulica
6,21332.813,0.2539460533645293,2021-07-01T00:00:00.000+02:00,Hidráulica
7,18915.412,0.23172330226089333,2021-08-01T00:00:00.000+02:00,Hidráulica
8,12108.089,0.2025711829285478,2021-09-01T00:00:00.000+02:00,Hidráulica
9,10345.409,0.1519910704185209,2021-10-01T00:00:00.000+02:00,Hidráulica
10,26706.254,0.27255061509734085,2021-11-01T00:00:00.000+01:00,Hidráulica
11,88060.533,0.5459152590531076,2021-12-01T00:00:00.000+01:00,Hidráulica
0,21884.058,0.1953223770598885,2021-01-01T00:00:00.000+01:00,Eólica
1,30459.063,0.25863481349342893,2021-02-01T00:00:00.000+01:00,Eólica
2,32427.253,0.2933481653611341,2021-03-01T00:00:00.000+01:00,Eólica
3,31452.504,0.3363539415958202,2021-04-01T00:00:00.000+02:00,Eólica
4,18112.192,0.2494510880935057,2021-05-01T00:00:00.000+02:00,Eólica
5,17035.913,0.20830293172222736,2021-06-01T00:00:00.000+02:00,Eólica
6,18365.706,0.21862557722477838,2021-07-01T00:00:00.000+02:00,Eólica
7,17284.923,0.21174899266721056,2021-08-01T00:00:00.000+02:00,Eólica
8,17536.746,0.29339389410975414,2021-09-01T00:00:00.000+02:00,Eólica
9,24124.498,0.35442854645277594,2021-10-01T00:00:00.000+02:00,Eólica
10,33371.928,0.34057713610393175,2021-11-01T00:00:00.000+01:00,Eólica
11,36335.059,0.2252525901324598,2021-12-01T00:00:00.000+01:00,Eólica
0,2176.267,0.019423894944758067,2021-01-01T00:00:00.000+01:00,Solar fotovoltaica
1,3091.262,0.026248606886867275,2021-02-01T00:00:00.000+01:00,Solar fotovoltaica
2,5576.44,0.05044640824945741,2021-03-01T00:00:00.000+01:00,Solar fotovoltaica
3,6496.627,0.06947510756306807,2021-04-01T00:00:00.000+02:00,Solar fotovoltaica
4,7953.879,0.10954520419803881,2021-05-01T00:00:00.000+02:00,Solar fotovoltaica
5,7684.391,0.09395922448065439,2021-06-01T00:00:00.000+02:00,Solar fotovoltaica
6,8318.117,0.09901896123940142,2021-07-01T00:00:00.000+02:00,Solar fotovoltaica
7,8018.942,0.09823606913127626,2021-08-01T00:00:00.000+02:00,Solar fotovoltaica
8,5305.589,0.08876375453324559,2021-09-01T00:00:00.000+02:00,Solar fotovoltaica
9,5030.212,0.07390208606659136,2021-10-01T00:00:00.000+02:00,Solar fotovoltaica
10,1994.528,0.020355151015521274,2021-11-01T00:00:00.000+01:00,Solar fotovoltaica
11,1808.493,0.011211423448808011,2021-12-01T00:00:00.000+01:00,Solar fotovoltaica
0,5057.331,0.045138333690153035,2021-01-01T00:00:00.000+01:00,Otras renovables
1,4959.869,0.042115372812579294,2021-02-01T00:00:00.000+01:00,Otras renovables
2,5775.072,0.05224330213935962,2021-03-01T00:00:00.000+01:00,Otras renovables
3,5698.379,0.0609386215277756,2021-04-01T00:00:00.000+02:00,Otras renovables
4,5090.09,0.07010352413412316,2021-05-01T00:00:00.000+02:00,Otras renovables
5,5027.589,0.06147375419177248,2021-06-01T00:00:00.000+02:00,Otras renovables
6,4871.619,0.05799180907579581,2021-07-01T00:00:00.000+02:00,Otras renovables
7,3813.096,0.046712342134435314,2021-08-01T00:00:00.000+02:00,Otras renovables
8,4596.96,0.07690822433459295,2021-09-01T00:00:00.000+02:00,Otras renovables
9,5323.185,0.07820634120756503,2021-10-01T00:00:00.000+02:00,Otras renovables
10,4476.975,0.045689758287531364,2021-11-01T00:00:00.000+01:00,Otras renovables
11,1684.98,0.010445727068212332,2021-12-01T00:00:00.000+01:00,Otras renovables
0,17201.47,0.15352874724259827,2021-01-01T00:00:00.000+01:00,Residuos renovables
1,24854.083,0.21104165683807158,2021-02-01T00:00:00.000+01:00,Residuos renovables
2,30399.769,0.2750068426564618,2021-03-01T00:00:00.000+01:00,Residuos renovables
3,30550.8395,0.32671151666926984,2021-04-01T00:00:00.000+02:00,Residuos renovables
4,23579.221,0.3247460238300941,2021-05-01T00:00:00.000+02:00,Residuos renovables
5,31483.287,0.38495506418424935,2021-06-01T00:00:00.000+02:00,Residuos renovables
6,31117.0395,0.37041759909549515,2021-07-01T00:00:00.000+02:00,Residuos renovables
7,33596.9315,0.4115792938061845,2021-08-01T00:00:00.000+02:00,Residuos renovables
8,20224.637,0.3383629440938596,2021-09-01T00:00:00.000+02:00,Residuos renovables
9,23242.596,0.34147195585454687,2021-10-01T00:00:00.000+02:00,Residuos renovables
10,31436.7165,0.3208273394956748,2021-11-01T00:00:00.000+01:00,Residuos renovables
11,33418.998,0.2071750002974123,2021-12-01T00:00:00.000+01:00,Residuos renovables
0,112040.71100000001,1.0,2021-01-01T00:00:00.000+01:00,Generación renovable
1,117768.61200000001,1.0,2021-02-01T00:00:00.000+01:00,Generación renovable
2,110541.864,1.0,2021-03-01T00:00:00.000+01:00,Generación renovable
3,93510.1395,1.0,2021-04-01T00:00:00.000+02:00,Generación renovable
4,72608.19,1.0,2021-05-01T00:00:00.000+02:00,Generación renovable
5,81784.31700000001,1.0,2021-06-01T00:00:00.000+02:00,Generación renovable
6,84005.29449999999,1.0,2021-07-01T00:00:00.000+02:00,Generación renovable
7,81629.3045,1.0,2021-08-01T00:00:00.000+02:00,Generación renovable
8,59772.02099999999,1.0,2021-09-01T00:00:00.000+02:00,Generación renovable
9,68065.9,1.0,2021-10-01T00:00:00.000+02:00,Generación renovable
10,97986.40149999999,1.0,2021-11-01T00:00:00.000+01:00,Generación renovable
11,161308.063,1.0,2021-12-01T00:00:00.000+01:00,Generación renovable
